favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
27,Twitter Web Client,"As a proud supporter of #Hawaiian language immersion schools, I stand by the Hawaiʻi State Judiciary’s policy chang… https://t.co/z02d1dFfPU",,FALSE,Tue Jan 30 02:15:35 +0000 2018,7,9.58162E+17,neg
1,Twitter Web Client,".@CountyofMaui transportation update:
🚌There will be NO bus service on Wednesday, 9/12.
🛳️All state small boat harb… https://t.co/aPF42xwCLl",,FALSE,Tue Sep 11 22:57:28 +0000 2018,1,1.03965E+18,neg
1,TweetDeck,RT @SurfaceWarriors October is National #CyberSecurityAwarenessMonth! Find out what you can do to boost your cybers… https://t.co/wQozJOHYjm,,FALSE,Thu Oct 04 20:16:00 +0000 2018,1,1.04794E+18,neg
3,Twitter for iPhone,"Broke ground on @Kakaako Entrepreneur’s Sandbox hub for #technology, #creativity, and #economic activity.… https://t.co/q1xzSYzF6Y",,FALSE,Wed Apr 18 21:30:16 +0000 2018,0,9.86719E+17,neg
1,Sprout Social,#Preschool Open Doors (POD) accepting application. Enrollment period ends on May 31st. Visit:… https://t.co/pEhUhfdZSf,,FALSE,Thu May 24 00:32:01 +0000 2018,0,9.99448E+17,neg
5,Twitter Web Client,"Building #affordable housing is a high #priority for me and my administration. Kunia Village, completed in 2017, pr… https://t.co/rZLPvJxpL6",,FALSE,Tue Mar 20 01:56:32 +0000 2018,3,9.75914E+17,neg
3,Twitter Web Client,📡Sign up for alerts and notifications for #Hawaii County at https://t.co/WK5L8ki9g7 || #HurricaneLane #HIGov #Lane #prepare #HINews,,FALSE,Wed Aug 22 19:24:55 +0000 2018,4,1.03235E+18,neg
9,Twitter for iPhone,"HIDOE will provide another update about school closures by 1 p.m. tomorrow, Aug. 26. After-school programming and a… https://t.co/foaWmNZx8j",GovHawaii,FALSE,Sun Aug 26 01:57:49 +0000 2018,8,1.03353E+18,neg
0,Twitter Web Client,RT @CDCEnvironment: Returning home after a #wildfire or #hurricane evacuation: Protect your physical as well as you… https://t.co/i5KMGh11vZ,,FALSE,Fri Aug 31 20:24:20 +0000 2018,0,1.03562E+18,neg
7,Sprout Social,Need health coverage? Find an affordable plan that meets your needs and #GetCoveredNow → https://t.co/vKKjhdx4Au |… https://t.co/PvBMSzE9ym,,FALSE,Thu Nov 09 01:13:02 +0000 2017,4,9.2843E+17,neg
16,Twitter Web Client,"I reassured them that the county, state and the federal governments are working together to do everything in our po… https://t.co/OuO8RE04bB",GovHawaii,FALSE,Sat May 05 03:03:20 +0000 2018,9,9.92601E+17,neg
2,Twitter Web Client,#Healthcare #LIVE Bill Signing at noon today 👆🖱️https://t.co/kZTkftWOeh #HIGov #HINews Details:… https://t.co/4Zr6loqQm0,,FALSE,Wed Jun 13 19:59:14 +0000 2018,1,1.00699E+18,neg
0,Twitter Web Client,"@HuffPost Aloha, I will be signing SB2571, bill to ban #toxicsunscreen to #SaveCoralReefs. Watch #LIVE on #Facebook… https://t.co/OrvcV2jGSM",HuffPost,FALSE,Tue Jul 03 21:07:20 +0000 2018,0,1.01425E+18,neg
